,help_config_id,heuristic_value,empirical_voa,ci_low_95,ci_high_95,ci_low_90,ci_high_90,ci_low_80,ci_high_80,computation_time,env_instance_id
126,0,-8.559615377892577,-6.323504988225174,-7.663811434717684,-5.053503213046506,-7.435758288391049,-5.2151491305104205,-7.23810136977487,-5.483764571061053,0.02784109115600586,4
127,1,-2.517920289982893,-4.105139451480151,-5.701859159982014,-2.6131513773421644,-5.4571365942505725,-2.8117951395354783,-5.12555024492905,-3.0506027961003954,0.02697443962097168,4
128,2,-16.087403979659033,-9.25823510772943,-10.818913120207977,-7.53255510882236,-10.590263197170447,-7.798601604373809,-10.323941374598128,-8.211634323750749,0.03700518608093262,4
129,3,-8.784765029787799,-7.0994583851455495,-8.447361305679875,-5.780233494247652,-8.272991457954188,-5.986278097109636,-8.056975246367305,-6.2326505391954985,0.031941890716552734,4
130,4,-4.403561876232583,-1.6915447843660076,-2.922120058745639,-0.3530069564954462,-2.78752322394644,-0.5617002986329716,-2.514191451144648,-0.8566940697658775,0.026551008224487305,4
131,5,-10.44817198538355,-7.4501060099218,-9.298835717143486,-5.757170375030369,-9.011383523213114,-6.035268421770765,-8.714810922217998,-6.309510721673022,0.02756786346435547,4
132,6,-11.193807790349604,-5.444069094199623,-6.651777518035891,-4.178914770386376,-6.457195562903711,-4.339737777031,-6.247249894183034,-4.5851762979696336,0.027303695678710938,4
133,7,-5.839415581165833,-3.9312923426738893,-5.035048364144638,-2.726990578230469,-4.909353992803148,-2.9901191704499164,-4.715801957355747,-3.224027136315125,0.06739020347595215,4
134,8,-12.120768325896623,-8.677780660999867,-10.189882537971233,-7.218786202583269,-10.036900330508642,-7.4166154627684815,-9.705061431349561,-7.603964214787456,0.025551319122314453,4
135,9,-6.75710832450666,-9.168852859765737,-10.563233364715144,-7.73958953623129,-10.35606323385836,-7.9940532717953054,-10.10046111446778,-8.239907420564784,0.024939298629760742,4
136,10,-3.6864161493937084,-4.237780799070991,-5.478307869645751,-3.01208507160356,-5.304063400752029,-3.176289095059422,-5.088717820024895,-3.446067954900519,0.031939029693603516,4
137,11,-7.609391332621989,-10.234484978272647,-11.955572635391034,-8.699843274210625,-11.688269445867206,-8.91315008715578,-11.315620117443316,-9.198195549836695,0.02321481704711914,4
138,12,-7.198341263970557,-7.4654335934687985,-8.618477837938952,-6.213109184828896,-8.47400162149824,-6.398781054241729,-8.271003487499165,-6.671326997277018,0.021752595901489258,4
139,13,-1.8898701764327637,-2.88535303845864,-3.730238626447031,-2.0116762121200593,-3.6057852304192397,-2.141350581804568,-3.4749249187928366,-2.2868022879712395,0.022531986236572266,4
140,14,-10.422606647372554,-8.40267050629319,-9.610167069217733,-7.100960098843838,-9.428565724301617,-7.336878176735629,-9.183940396322994,-7.577908521407083,0.023308992385864258,4
141,15,0.5560795481509642,0.28986016987302154,-0.3422637458883636,0.8827804512265095,-0.25059816345849056,0.8186372602297436,-0.1269355347307176,0.7128867228223799,0.05737614631652832,4
142,16,0.9099606324242142,1.918560754725825,0.9413887700865947,2.8588358279297994,1.1724100820552448,2.6835341088045555,1.3677516634980416,2.5471413165287995,0.023706912994384766,4
143,17,-1.4609492454224524,-0.04788752287365927,-0.6253245285961763,0.5693249558976501,-0.5321534660451354,0.4672382575904652,-0.4260255681224636,0.35902303580894124,0.023857593536376953,4
144,18,-1.5659085524878957,-1.2669669123566731,-2.0615176064905074,-0.46051823463865293,-1.9299873197865973,-0.5849016524518255,-1.7932350265918355,-0.7267562395559917,0.023815631866455078,4
145,19,-1.9956022886581932,1.0317239328736452,0.10719943781453317,2.012915755229471,0.26014928325343617,1.878243862518974,0.4233161513135051,1.6667428002987246,0.02199578285217285,4
146,20,-0.8978515916283483,-1.7002728308460235,-2.4803121900509573,-0.9305974376699955,-2.3425296028987965,-1.06137508606705,-2.210225930134759,-1.1928126261809853,0.02383708953857422,4
147,21,-2.536483170800331,-0.5710947317746434,-1.285536633970842,0.17676747063421264,-1.1839607068913767,0.06608843276151136,-1.0694482452098446,-0.07182802983837713,0.023036956787109375,4
148,22,-0.44797536951477035,1.9146381152603311,0.9021054978671832,2.8611331558333952,1.0684877911246486,2.735952775179115,1.2583972846866296,2.5672543811836706,0.06201672554016113,4
149,23,0.2467828685091975,-0.4933687310951801,-1.05361480722353,0.05711836890793179,-0.946279411011394,-0.03618858077270645,-0.856070235317818,-0.13799158262348526,0.023085832595825195,4
150,24,2.2056384157497364,-0.21275666566955936,-1.1274464357185794,0.733574454294501,-0.9766852830891999,0.5662101339272653,-0.8288258791175955,0.426281777345168,0.02342820167541504,4
151,25,1.7045997788940666,2.126423714052275,0.7114519274226072,3.5210887682766216,0.8991682912543506,3.3293648554254367,1.1354565175548619,3.0758323073163925,0.02226567268371582,4
152,26,-1.0747719659101405,0.04803215402258248,-0.647888336058507,0.6791156302462958,-0.5156285748352459,0.592087034837024,-0.37826069111297284,0.4617947753736813,0.020776033401489258,4
