,help_config_id,heuristic_value,empirical_voa,ci_low_95,ci_high_95,ci_low_90,ci_high_90,ci_low_80,ci_high_80,computation_time,env_instance_id
291,0,-4.323035728762546,-4.323035728762546,-5.805414017163181,-2.8292282445618495,-5.604460226863084,-3.0407374243287895,-5.356839137556666,-3.31096238740536,0.023016691207885742,9
292,1,-5.447974432103492,-5.447974432103494,-6.539522446235845,-4.380173476703915,-6.416085345725918,-4.547994991356733,-6.176671826041854,-4.6875885315631765,0.02633213996887207,9
293,2,-8.187202661367404,-8.187202661367404,-10.2008283617955,-6.055739482463121,-9.933422598068239,-6.384853467443907,-9.518065438325763,-6.792278853834903,0.02319478988647461,9
294,3,-4.739034133510996,-4.739034133510995,-6.196576309725902,-3.376476925164922,-5.929267872876636,-3.5637243763591124,-5.704977254436142,-3.804484054502058,0.09670162200927734,9
295,4,-6.587114227028219,-6.587114227028219,-7.729987450821647,-5.348047912097989,-7.560331740017227,-5.502961747570832,-7.3563085002981055,-5.775738605802894,0.023298263549804688,9
296,5,-7.09546512771418,-7.09546512771418,-9.077335903185698,-5.278533684126726,-8.727893020087055,-5.591990793174833,-8.402116028499648,-5.874523374029117,0.02658700942993164,9
297,6,-1.184362419090893,-1.184362419090893,-2.3162914571151516,-0.13381285972982493,-2.1014073972502163,-0.4078073069413641,-1.8778283836630143,-0.5685276367834347,0.026038169860839844,9
298,7,-2.377393174894504,-2.377393174894505,-3.2796362882039287,-1.382481347847836,-3.1333882842388943,-1.6102823007898173,-2.9733489315542454,-1.8017889083864955,0.025072574615478516,9
299,8,-3.2527383426803063,-3.252738342680305,-4.911115115234849,-1.8144534183727763,-4.647752827459414,-2.044681814087412,-4.29739671828912,-2.315357847952879,0.025022268295288086,9
300,9,-2.534092382808221,-2.534092382808221,-3.8848472132011227,-1.276075919219211,-3.644889671316485,-1.4950208448937776,-3.3913220599347778,-1.7204260995320861,0.023816347122192383,9
301,10,-5.35791600481552,-5.3579160048155225,-7.245721924738693,-3.5390884077224882,-7.021798742249475,-3.8882737298326826,-6.654657656055042,-4.189612052505142,0.03259921073913574,9
302,11,-6.31826266030695,-6.318262660306953,-8.2440138805725,-4.344473934396846,-7.9780677652118435,-4.633669839675747,-7.681767132059765,-4.964014617723386,0.07992148399353027,9
303,12,-4.53223062702855,-4.532230627028549,-6.062862751816494,-3.2633425655107042,-5.770484125228795,-3.4457724044672577,-5.520145584838947,-3.6348283083397877,0.02446436882019043,9
304,13,-7.4270371943012075,-7.4270371943012075,-9.210266093698795,-5.717120170796208,-8.874953548551886,-5.919475181376449,-8.552088149640168,-6.25592886963631,0.025054216384887695,9
305,14,-7.48832493126833,-7.488324931268331,-9.530297184153538,-5.5729839798964305,-9.176694568469188,-5.80926160205561,-8.820352065518941,-6.182047105357606,0.024798154830932617,9
306,15,-7.154613931742513,-7.154613931742517,-9.10832609435027,-5.157075255325844,-8.748557501639214,-5.580887489070872,-8.375768854469772,-5.864326414943186,0.024997711181640625,9
307,16,-2.8177212508442575,-2.8177212508442575,-4.133950339861409,-1.494334358666474,-3.891964402466463,-1.7277694825146273,-3.664641330861439,-1.9222146951851555,0.02442026138305664,9
308,17,-8.137765135796307,-8.13776513579631,-10.144797970468014,-6.070364221727565,-9.82637661699177,-6.396959852055607,-9.46978798344415,-6.806017244357506,0.02331066131591797,9
309,18,-7.010454479407222,-7.010454479407224,-8.880184428032715,-5.390188010721559,-8.556327344431558,-5.640191859606656,-8.15396839912901,-5.917994567053429,0.023868083953857422,9
310,19,-2.9386146853713613,-2.9386146853713626,-4.341871516326908,-1.4872042766464497,-4.143823963203136,-1.7094643376029348,-3.8432683209982526,-1.951205721682496,0.058377981185913086,9
311,20,-6.951133038960458,-6.951133038960458,-8.729097727049128,-5.0972325140901855,-8.467897625946573,-5.459175068340465,-8.186000285841125,-5.722979699733644,0.022155046463012695,9
312,21,-5.40817446036505,-5.40817446036505,-6.747437826702999,-4.248237098035464,-6.590907408557797,-4.376774076052876,-6.317187344297225,-4.596850707790374,0.021831274032592773,9
313,22,-0.01820011672386311,-0.01820011672386311,-0.8529838635966667,0.7971780759546783,-0.719699835434587,0.7023032609280568,-0.5482511714894277,0.5728251396860127,0.02134990692138672,9
314,23,-5.777503432764393,-5.7775034327643935,-7.228122714786416,-4.235579298365826,-7.022730318001547,-4.494063479603636,-6.800450118045142,-4.750490539661645,0.021381378173828125,9
315,24,-5.685108692536715,-5.6851086925367165,-7.408808398139722,-4.042867354176541,-7.059060990391933,-4.251620852680218,-6.756649277526741,-4.5685482203192205,0.02124929428100586,9
316,25,-3.7361296774872805,-3.73612967748728,-5.178061765826504,-2.300131614598554,-5.003403898832415,-2.496282261555931,-4.7706671608321045,-2.7450583058350246,0.020643234252929688,9
317,26,-8.080373274471638,-8.080373274471638,-10.071456189495358,-6.1804069876890875,-9.788101503633559,-6.4448991388501655,-9.358127597934656,-6.7098986099966025,0.05346202850341797,9
318,27,-2.3551849354231855,-2.3551849354231864,-3.21358996950607,-1.4240803011210117,-3.0917980529363787,-1.6016421405509724,-2.964914150356232,-1.7641099793995263,0.021299123764038086,9
319,28,-1.458435127391076,-1.4584351273910758,-2.511550563979977,-0.5741038185783521,-2.3370826524771298,-0.7250112442012625,-2.121692736195941,-0.9080128290792854,0.02179741859436035,9
320,29,-3.7614059584001502,-3.7614059584001494,-4.961237511007438,-2.6677195258526294,-4.796781306198153,-2.829657402214055,-4.567135373250275,-3.0516162863207175,0.020915746688842773,9
321,30,-2.7473351053729274,-2.7473351053729282,-3.784043777835163,-1.7486894111586804,-3.644376933779383,-1.8726904197269822,-3.445069938206119,-2.0549520508056514,0.021546363830566406,9
322,31,-2.6159531490439476,-2.6159531490439476,-3.546636289605883,-1.6711230132371129,-3.382774123575736,-1.84235377967246,-3.2234163551245043,-2.031836813666906,0.021929025650024414,9
323,32,-4.6616431583571005,-4.6616431583571005,-6.2785713362371744,-3.1644733686342867,-6.0658072000034124,-3.444942271363412,-5.701040031951487,-3.7320312766963974,0.020115375518798828,9
324,33,-0.2975481747436007,-0.2975481747436008,-1.381968931125437,0.7461275558710697,-1.2080157644648886,0.5773550440636963,-0.9874275905570093,0.3827282517755512,0.021346330642700195,9
325,34,-1.8340034400692031,-1.8340034400692031,-3.09863790824661,-0.495305509311798,-2.9461086812889574,-0.7727175961961167,-2.7147280952613517,-1.004350605775927,0.05605196952819824,9
326,35,-3.3607544978006336,-3.3607544978006336,-4.824779946588579,-1.8604084874035163,-4.630764934393467,-2.136651954942253,-4.349763560062162,-2.3431209582094272,0.022467613220214844,9
327,36,-1.8531584338608076,-1.853158433860807,-2.88287442974121,-0.9090975719077282,-2.7217667271705435,-1.0165723051254532,-2.5092752976461443,-1.188844922100815,0.021686315536499023,9
328,37,-2.162550693451733,-2.162550693451732,-3.1010304909006,-1.209820256376946,-2.9704108297376894,-1.3665487621136831,-2.779714853988486,-1.5219232801865794,0.024023771286010742,9
329,38,-4.263707433577015,-4.263707433577015,-5.664959917410966,-2.887131877475735,-5.462841073802463,-3.1072696129605735,-5.2038976725547235,-3.349255793579821,0.022378921508789062,9
330,39,-1.5571842940486678,-1.5571842940486675,-2.51802878238124,-0.4621258119649896,-2.388797647186854,-0.6136994031292718,-2.233414345973762,-0.8236913824627107,0.02190566062927246,9
331,40,0.7762087029928528,0.7762087029928528,-0.29710140763478726,1.8135148814234607,-0.06668582530329861,1.689392596345348,0.09007806738924673,1.501440335353913,0.022188663482666016,9
332,41,-2.652099379267676,-2.652099379267676,-3.604102031074721,-1.6908835610897943,-3.470887408289931,-1.889989826774824,-3.2421783058081144,-2.058362109462898,0.0215299129486084,9
333,42,0.590706837284321,0.590706837284321,-0.250664685478333,1.506775320368228,-0.1121391950359498,1.329120403811515,0.016083648998587226,1.1928581908487703,0.053481101989746094,9
334,43,1.311335321900033,1.3113353219000334,0.2666478202281185,2.2144695581656135,0.4635233577982262,2.076091997956342,0.6201305728702731,1.9174215934839967,0.021895408630371094,9
335,44,-1.6036924660881597,-1.6036924660881595,-2.401043720341844,-0.7908241564641698,-2.2557932990747633,-0.8999697609616903,-2.1311170963444352,-1.082911129639768,0.020982027053833008,9
336,45,-0.14263423452541066,-0.14263423452541063,-1.0680048263654154,0.8119518370571618,-0.9174401775748131,0.6755103370692371,-0.7376433036552118,0.48374847166338414,0.021712064743041992,9
