,help_config_id,heuristic_value,empirical_voa,ci_low_95,ci_high_95,ci_low_90,ci_high_90,ci_low_80,ci_high_80,computation_time,env_instance_id
291,0,0.29913719187948823,-4.323035728762546,-5.871595011783601,-2.918256753046977,-5.609568022838047,-3.092890757112384,-5.337049023712613,-3.3680495862167783,0.21049118041992188,9
292,1,1.2545614077533216,-5.447974432103494,-6.623401206981599,-4.299893905969194,-6.394558758368089,-4.5011492975685945,-6.145617149512458,-4.696441529142978,0.23151183128356934,9
293,2,-1.955649615116103,-8.187202661367404,-10.381040767664159,-5.940232066432389,-10.043735890235261,-6.256649378892147,-9.580406466224115,-6.681242807900141,0.2013404369354248,9
294,3,0.0641962236872253,-4.739034133510995,-6.123809935298236,-3.3079212507134823,-5.945566957185773,-3.5273780104563963,-5.664776505082706,-3.794963651564029,0.2340085506439209,9
295,4,1.0336679931179955,-6.587114227028219,-7.890138484169032,-5.439697596839675,-7.667678796102102,-5.61452315681806,-7.412803842183461,-5.809882426843282,0.22101950645446777,9
296,5,-2.261004011107146,-7.09546512771418,-9.119061852849724,-5.323062489668586,-8.77176209379766,-5.658480963311153,-8.289260597727674,-5.93849049770317,0.2613687515258789,9
297,6,2.8660727100590733,-1.184362419090893,-2.1993139298234854,-0.06572257759959195,-2.0491151995116987,-0.26875034239731704,-1.8516268271940934,-0.4851922357357663,0.2102053165435791,9
298,7,2.61075306986289,-2.377393174894505,-3.273233512169417,-1.5381389170499349,-3.1410010663416186,-1.6567591824687649,-2.9477478511897504,-1.8252712943890383,0.22862887382507324,9
299,8,0.31666871574574035,-3.252738342680305,-4.718195460691708,-1.94130086365316,-4.545765417591704,-2.122602692992665,-4.247918588144662,-2.309697692833735,0.22327542304992676,9
300,9,1.358936228481029,-2.534092382808221,-3.698668288059948,-1.305222971777527,-3.526867249415142,-1.4916762875594847,-3.3321530796910626,-1.747902005453647,0.2379741668701172,9
301,10,1.2605352865929502,-5.3579160048155225,-7.190198273077478,-3.4060426218191053,-6.89416674534344,-3.738746754879886,-6.592694517082978,-4.103466120322655,0.21736907958984375,9
302,11,-1.2449756649068684,-6.318262660306953,-8.487079554202772,-4.392182328817764,-8.054179388240273,-4.688450425841444,-7.539023353958624,-5.050888933955615,0.2290794849395752,9
303,12,-0.06649701163544823,-4.532230627028549,-5.914687537550026,-3.0819088287139524,-5.766601109485286,-3.3000527135777573,-5.500393143615733,-3.5899985444099776,0.21508526802062988,9
304,13,0.711273130421347,-7.4270371943012075,-9.135463256702591,-5.7359440808426605,-8.867348535546805,-6.011627080000317,-8.520085740718534,-6.3664054340668566,0.23427224159240723,9
305,14,-2.190517394730101,-7.488324931268331,-9.629623109001136,-5.6108898647995975,-9.150197410135275,-5.936120679502564,-8.776894671994272,-6.273412452833674,0.21451497077941895,9
306,15,-0.31173612848857096,-7.154613931742517,-9.140987098467274,-5.28654697546685,-8.855359923136987,-5.622245359958099,-8.463653832777409,-5.931114943477652,0.22597718238830566,9
