,help_config_id,heuristic_value,empirical_voa,ci_low_95,ci_high_95,ci_low_90,ci_high_90,ci_low_80,ci_high_80,computation_time,env_instance_id
291,0,-4.421127626413233,-4.323035728762546,-6.001070297427754,-2.8780764763274087,-5.712000245928583,-3.1327611676797233,-5.309666344119317,-3.3852663247759205,0.08368206024169922,9
292,1,-7.6107239977849215,-5.447974432103494,-6.672336926957543,-4.334003118428225,-6.408915737528661,-4.501510305013121,-6.186194291179442,-4.696983870409976,0.17122483253479004,9
293,2,-9.803385191799203,-8.187202661367404,-10.381086138471787,-6.054037676569265,-9.970721439268202,-6.446719624848231,-9.620476152184384,-6.849280280132407,0.08026337623596191,9
294,3,-5.56728365245232,-4.739034133510995,-6.2788230818888096,-3.2974487646398405,-5.98785711621831,-3.536276997049335,-5.714318432793962,-3.87199378493749,0.08184528350830078,9
295,4,-6.396865707459492,-6.587114227028219,-7.899518344671952,-5.288517675966414,-7.67945201047325,-5.573254564740028,-7.395126961068873,-5.820371029693405,0.0699310302734375,9
296,5,-6.818249915646788,-7.09546512771418,-8.9354162784724,-5.2764422839686675,-8.638461108206213,-5.648562451175277,-8.280458130246688,-5.912888449841106,0.06002187728881836,9
297,6,-1.7283758375288236,-1.184362419090893,-2.320885356399643,-0.20708599175829687,-2.0662510305471695,-0.32175479678928376,-1.8514773298706562,-0.49978933450905383,0.07986688613891602,9
298,7,-2.548208289689726,-2.377393174894505,-3.3303886621235925,-1.4768936529196306,-3.1999058135199294,-1.591283438446868,-2.994792367059587,-1.76330141034849,0.08029699325561523,9
299,8,-3.138710130622895,-3.252738342680305,-4.894951812590615,-1.7234594650274848,-4.485372716439313,-1.9862605371272806,-4.215183571160498,-2.2427814342311363,0.15813446044921875,9
300,9,-2.8532773549641837,-2.534092382808221,-3.8608656187505996,-1.1952077723021162,-3.666008916838067,-1.4167778090693888,-3.41594026639152,-1.6649605165127843,0.08675360679626465,9
301,10,-7.168363294892553,-5.3579160048155225,-7.227910834770394,-3.543001438512548,-6.991001252048034,-3.8861237959046124,-6.610633617147243,-4.1324908347940355,0.0642092227935791,9
302,11,-7.198301091287995,-6.318262660306953,-8.376016208489503,-4.346734492834202,-7.959349940684166,-4.681095603473685,-7.5510122062323735,-5.096346843380949,0.06575441360473633,9
303,12,-3.488736023415046,-4.532230627028549,-6.056553935676622,-3.177501412098122,-5.801338541518519,-3.41237728301584,-5.569011574933759,-3.6585376821988014,0.07772469520568848,9
304,13,-8.625939703012076,-7.4270371943012075,-9.09715535845231,-5.6759442074510735,-8.862248756153573,-5.918277941049944,-8.515917461056265,-6.243151497274904,0.0907893180847168,9
305,14,-7.118253260514098,-7.488324931268331,-9.577645080409475,-5.484026564782685,-9.146861219396522,-5.7268094827687435,-8.851101825582184,-6.096778468634827,0.06422281265258789,9
306,15,-8.986234751305457,-7.154613931742517,-9.241616043393106,-5.276138475195164,-8.805629030849904,-5.5304757927711545,-8.506868267382933,-5.961163107629895,0.06416463851928711,9
307,16,-2.953611934894104,-2.8177212508442575,-4.14321104718904,-1.5387895152562676,-3.8851407825072566,-1.7713509041052502,-3.652263751852454,-1.9904506211571826,0.13118600845336914,9
308,17,-10.781956724842404,-8.13776513579631,-10.057699295125577,-5.88157556380262,-9.78657479709968,-6.39116986473371,-9.448308872524326,-6.79501161307733,0.083953857421875,9
309,18,-9.158592651983883,-7.010454479407224,-8.86319055080995,-5.298796494635825,-8.52358781964602,-5.509641271891848,-8.178631536219973,-5.8792200102138565,0.06574583053588867,9
310,19,-5.101984455320658,-2.9386146853713626,-4.3657935793025535,-1.4489863584037108,-4.198755886417771,-1.6611516062940792,-3.917332075863182,-1.9451259406533905,0.06687808036804199,9
311,20,-9.02868180372111,-6.951133038960458,-8.847494919700202,-5.120518220201414,-8.492308274560616,-5.446767417464676,-8.111934735213184,-5.842041101638063,0.07421708106994629,9
312,21,-6.917066345876688,-5.40817446036505,-6.6972885536863895,-4.2302810497319525,-6.461318437748221,-4.391852128528519,-6.216683643054181,-4.6011598769732105,0.06415176391601562,9
313,22,-1.4597709993100214,-0.01820011672386311,-0.8804885434688068,0.8360386480465323,-0.7372145718090887,0.6934738073717023,-0.6020416198177245,0.5187830026330291,0.06117439270019531,9
314,23,-7.426695862079083,-5.7775034327643935,-7.349096771493255,-4.405275587420912,-7.048981084799595,-4.571402830714852,-6.735795682611762,-4.869188950741471,0.05114889144897461,9
315,24,-8.40611394138716,-5.6851086925367165,-7.430065645432393,-3.9929175912835793,-7.1512342648321585,-4.1857760164017375,-6.854428279541715,-4.524297679672141,0.10108590126037598,9
316,25,-4.823012919786825,-3.73612967748728,-5.335465386000084,-2.2566403423748262,-4.973528772546202,-2.51854160865129,-4.757334410322116,-2.7787190106017357,0.04774022102355957,9
317,26,-9.257193369163492,-8.080373274471638,-10.041782913707708,-6.088104192435444,-9.685899191316743,-6.332593997941973,-9.396664031383398,-6.763076805920018,0.050096750259399414,9
318,27,-2.4438413206485863,-2.3551849354231864,-3.2501903815555186,-1.486573659155101,-3.1170512951438427,-1.5895990222330492,-2.958308541103076,-1.7864875438994268,0.050194740295410156,9
319,28,-1.526701502771931,-1.4584351273910758,-2.4025767013430355,-0.5420533226111665,-2.2715772893662054,-0.7285378742102046,-2.1003491323252628,-0.8934272071646218,0.05011916160583496,9
320,29,-3.06682057667346,-3.7614059584001494,-4.961154308477467,-2.553633680460085,-4.804776454387533,-2.764111644420607,-4.557797612180292,-2.9652626847611545,0.05764937400817871,9
321,30,-2.4164237523211742,-2.7473351053729282,-3.857631467441761,-1.7130731216456117,-3.695561871731,-1.8917648247182672,-3.475837328768306,-2.0581259008157797,0.04815077781677246,9
322,31,-2.4797616394572417,-2.6159531490439476,-3.582210402239055,-1.669958996008796,-3.489531644995053,-1.8041311225291774,-3.1933268285837313,-1.9996724251023026,0.09546446800231934,9
323,32,-4.130779253232163,-4.6616431583571005,-6.204097195788345,-3.2827785690887326,-6.011368214902734,-3.4748431144675087,-5.705910280330943,-3.711596586102121,0.037955284118652344,9
324,33,-1.6860667267625793,-0.2975481747436008,-1.3977514612320794,0.6483209090124826,-1.2432661091799146,0.5386684104907844,-0.9812499050493958,0.38120663288247814,0.03810524940490723,9
325,34,-0.8194982777498041,-1.8340034400692031,-3.0879836800486666,-0.4336115162704798,-2.8944330387748956,-0.6947500601318793,-2.662179938668571,-0.9746020197350544,0.048135995864868164,9
