,belief_idx,help_config_idx_local,mean,std
0,0,0,1.153683382810668,0.4661292520542925
1,0,1,2.24731577081795,1.4828962795899967
2,0,2,1.3252951911194137,1.3328308590726605
3,0,3,2.658032369521175,1.2778231481472309
4,0,4,1.7357368118806327,0.8664886955310939
5,0,5,0.16184607084731034,0.4859021272472514
6,1,0,1.586827951133109,0.6752206721579644
7,1,1,2.137577223193711,1.696170327138856
8,1,2,1.0887129818260828,0.8459904073326916
9,1,3,1.4237100258711846,1.444392245783065
10,1,4,2.6640892023322293,0.954262420973872
11,1,5,0.9307623040750699,1.0034322728527183
