,belief_idx,state_idx,help_config_idx_local,value_diff
0,0,0,0,2.013263572831263
1,0,0,1,3.0161834810585733
2,0,0,2,2.9440649795164484
3,0,0,3,2.1166971570726623
4,0,0,4,1.9447957709949186
5,0,0,5,0.05424240784846912
6,0,1,0,1.0220894946009564
7,0,1,1,4.201557339227553
8,0,1,2,2.0171084364633716
9,0,1,3,2.82487328106977
10,0,1,4,1.1179863040396385
11,0,1,5,1.0558018075601199
12,0,2,0,1.6361660063904022
13,0,2,1,1.8790055246468613
14,0,2,2,0.67909972517284
15,0,2,3,-0.25676006827448716
16,0,2,4,1.788396712039201
17,0,2,5,0.7861041726878423
18,0,3,0,3.1398184904205193
19,0,3,1,4.676080603612628
20,0,3,2,1.1094152396969326
21,0,3,3,4.049131573064565
22,0,3,4,3.224514727764018
23,0,3,5,-1.0496030446745432
24,0,4,0,1.8655227991327887
25,0,4,1,0.9381810625239755
26,0,4,2,0.8946875625695501
27,0,4,3,1.3366423893769723
28,0,4,4,1.0198582783630188
29,0,4,5,0.8048796444954371
30,1,0,0,2.715286138968227
31,1,0,1,2.8815349953832743
32,1,0,2,1.9784573994153687
33,1,0,3,1.9488120550915582
34,1,0,4,2.6571943249078673
35,1,0,5,1.94799619522279
36,1,1,0,0.965959311202484
37,1,1,1,1.9417937781507
38,1,1,2,0.990210250166883
39,1,1,3,0.02814806646535839
40,1,1,4,-0.2023978626572176
41,1,1,5,-2.1368659210618133
42,1,2,0,1.1764913425705923
43,1,2,1,0.052203508619387495
44,1,2,2,-0.9166059526437748
45,1,2,3,-0.985788299360629
46,1,2,4,3.407807045663948
47,1,2,5,0.07092124684968404
48,1,3,0,4.405447958069881
49,1,3,1,1.0869429486925553
50,1,3,2,2.152747903196541
51,1,3,3,3.0170563573564735
52,1,3,4,-0.028092835602416155
53,1,3,5,1.1584038590517531
54,1,4,0,0.838355227307859
55,1,4,1,0.8498698934622749
56,1,4,2,0.9211850141614927
57,1,4,3,1.9634430621949481
58,1,4,4,0.9703257140841214
59,1,4,5,2.028511505736611
