,belief_idx,help_config_idx_local,mean,std
0,0,0,0.7946240357706672,0.5126816511569373
1,0,1,1.3632007999159215,0.5477030205515754
2,0,2,0.9831716127999091,0.6971210921593902
3,0,3,1.003333293980105,0.9822296753052057
4,0,4,0.9691126315745778,0.7116787443827226
5,0,5,-0.2258001013135787,0.43612215282680866
6,1,0,0.779974002324952,1.0774109812002108
7,1,1,1.7671147108601215,1.078054936303551
8,1,2,0.5544724941480811,1.1432318840390487
9,1,3,0.9859958007783287,0.9947458633575611
10,1,4,1.5447726948673233,1.1268461630498308
11,1,5,0.7737809425747215,1.2758959868339714
